Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Phình động mạch chủ,đau ngực,khó thở,mệt mỏi,,,,,
Viêm tụy,chán ăn,sốt,vàng da,,,,,
Viêm hồi tràng,tiêu chảy,sốt,đầy hơi,ho có đờm,đau bụng,,,
Viêm ruột non cấp,táo bón,đi ngoài ra máu,tiêu chảy,đau bụng,,,,
Cảm lạnh,sổ mũi,hắt hơi,nghẹt mũi,mệt mỏi,,,,
Viêm mào tinh hoàn mạn,ra khí hư,sốt,táo bón,,,,,
Viêm mào tinh hoàn,rối loạn kinh nguyệt,đau bụng dưới,ra khí hư,,,,,
Polyp manh tràng,đau bụng,tiêu chảy,,,,,,
Ung thư phế quản,ho có đờm,đau ngực,sụt cân,thở khò khè,,,,
Viêm buồng trứng cấp,ra khí hư,đau khi quan hệ,rối loạn kinh nguyệt,,,,,
Phình nội tâm mạc,hồi hộp,mệt mỏi,phù chân,khó thở,,,,
Viêm móng mạn,mụn nước,phát ban,da đỏ,sốt,,,,
Xơ gan,vàng da,phù chân,bầm tím,chán ăn,mệt mỏi,,,
Viêm màng phổi mạn,mệt mỏi,ho,khó thở,ho có đờm,đau ngực,sốt,,
Viêm manh tràng,đầy hơi,đi ngoài ra máu,tiêu chảy,táo bón,,,,
Viêm võng mạc mạn,cộm mắt,mắt đỏ,đau mắt,chảy nước mắt,,,,
U lành tính kết mạc,mờ mắt,đau mắt,chảy nước mắt,,,,,
Viêm vòm họng cấp,sốt,đau họng,nghẹt mũi,ho,đau dữ dội,khàn tiếng,,
Phình màng ngoài tim,hồi hộp,phù chân,khó thở,,,,,
COVID-19,mệt mỏi,ho khan,mất khứu giác,sốt,,,,
Ung thư xoang,khàn tiếng,nghẹt mũi,đau họng,sụt cân,,,,
Viêm tá tràng cấp,đầy hơi,sốt,buồn nôn,đau dữ dội,đau thượng vị,chán ăn,,
Sỏi bàng quang,tiểu nhiều lần,đau quặn thận,đau lưng,,,,,
Viêm da,phát ban,da đỏ,sốt,mụn nước,,,,
Viêm bàng quang cấp,đau lưng,tiểu nhiều lần,tiểu buốt,sốt,tiểu rắt,,,
Hẹp van tim,mệt mỏi,phù chân,,,,,,
Thoái hóa cột sống cổ,hạn chế vận động,đau khớp,sưng khớp,,,,,
Viêm trung thất,thở khò khè,đau ngực,ho,ho có đờm,,,,
Zona thần kinh,sốt nhẹ,phát ban,mụn nước,ngứa,đau rát da,,,
Ung thư vòm họng,chán ăn,đau tai,khàn tiếng,ho,nghẹt mũi,,,
Sỏi thận,tiểu buốt,đau lưng,tiểu ra máu,đau quặn thận,,,,
Nhiễm trùng manh tràng,đi ngoài ra máu,táo bón,sốt,đau bụng,,,,
Nhiễm trùng niệu quản,tiểu ra máu,tiểu nhiều lần,tiểu rắt,,,,,
Viêm phổi mạn,thở khò khè,kéo dài,khó thở,ho,ho có đờm,,,
Hen suyễn,đau ngực,thở khò khè,khó thở,,,,,
Viêm mào tinh hoàn,ra khí hư,đau bụng dưới,đau khi quan hệ,rối loạn kinh nguyệt,,,,
Viêm trực tràng cấp,tiêu chảy,đau dữ dội,đi ngoài ra máu,đau bụng,,,,
Viêm da mạn,mệt mỏi,mụn nước,ngứa,phát ban,bong tróc da,đau bụng,,
U lành tính lách,mệt mỏi,đau hạ sườn phải,vàng da,,,,,
Rối loạn lo âu,hồi hộp,mất ngủ,lo lắng quá mức,chóng mặt,khó thở,,,
Sỏi thận,sợ lạnh,đau quặn thận,buồn nôn,đau lưng,,,,
Polyp trực tràng,tiêu chảy,táo bón,,,,,,
Cảm cúm,đau đầu,ớn lạnh,sốt cao,đau nhức cơ,,,,
Viêm van tim mạn,khó thở,kéo dài,mệt mỏi,đau ngực,sốt,sưng,,
Viêm động mạch chủ cấp,đau ngực,khó thở,sốt,đau dữ dội,phù chân,,,
Polyp ruột thừa,tiêu chảy,đầy hơi,đau bụng,đi ngoài ra máu,,,,
Gout,đỏ khớp,đau khớp,sưng khớp,đau dữ dội về đêm,,,,
Áp xe trung thất,khó thở,sốt,ho có đờm,thở khò khè,,,,
U lành tính tuyến tiền liệt,đau bụng dưới,ra khí hư,,,,,,
Động kinh,mất ý thức,co giật,,,,,,
Ung thư tinh hoàn,chán ăn,rối loạn kinh nguyệt,đau khi quan hệ,sụt cân,đau bụng dưới,,,
Viêm vòi trứng,đau khi quan hệ,ra khí hư,sốt,đau bụng dưới,rối loạn kinh nguyệt,,,
Nhiễm trùng đại tràng,đau bụng,tiêu chảy,đi ngoài ra máu,táo bón,đầy hơi,,,
Viêm khớp háng,hạn chế vận động,đau xương,sốt,,,,,
U lành tính móng,mụn nước,da đỏ,ngứa,,,,,
Áp xe đường mật,đau hạ sườn phải,vàng da,đau,chán ăn,sốt,mệt mỏi,buồn nôn,
Polyp hồi tràng,táo bón,tiêu chảy,đầy hơi,,,,,
Nhiễm trùng cổ tử cung,sốt,rối loạn kinh nguyệt,ra khí hư,ớn lạnh,đau khi quan hệ,,,
U lành tính đường mật,buồn nôn,đau hạ sườn phải,vàng da,,,,,
Viêm hậu môn cấp,đầy hơi,đau bụng,táo bón,tiêu chảy,đi ngoài ra máu,sốt,,
Viêm thanh quản mạn,đau ngực,khó thở,ho,thở khò khè,sốt,,,
Ung thư dây thần kinh,chóng mặt,chán ăn,sụt cân,yếu liệt tay chân,đau đầu,mệt mỏi,co giật,
Viêm niệu quản,đau lưng,tiểu rắt,khó thở,,,,,
Ung thư cổ tử cung,đau khi quan hệ,đau bụng dưới,sụt cân,mệt mỏi,,,,
Viêm thực quản cấp,chán ăn,buồn nôn,sốt,,,,,
Hẹp nội tâm mạc,hồi hộp,khó thở,mệt mỏi,đau ngực,,,,
Viêm cơ tim cấp,phù chân,đau dữ dội,sốt,hồi hộp,khó thở,đau ngực,,
Nhiễm trùng ruột thừa,đi ngoài ra máu,đau bụng,tiêu chảy,đầy hơi,táo bón,,,
Viêm võng mạc,mắt đỏ,sốt,cộm mắt,,,,,
Ung thư trực tràng,đầy hơi,đi ngoài ra máu,táo bón,mệt mỏi,tiêu chảy,sụt cân,,
Viêm dạ dày cấp,đầy hơi,đau thượng vị,buồn nôn,ợ chua,chán ăn,đau dữ dội,,
Áp xe tiểu phế quản,sốt,khó thở,sưng,ho có đờm,ho,,,
Viêm khớp gối mạn,cứng khớp,đau khớp,đau xương,hạn chế vận động,kéo dài,sưng khớp,mệt mỏi,
Đau nửa đầu,đau đầu,nhạy cảm ánh sáng,buồn nôn,,,,,
Viêm tuyến bã cấp,phát ban,ngứa,mụn nước,,,,,
U lành tính amidan,đau tai,ho,khàn tiếng,nghẹt mũi,,,,
Động kinh,co giật,mất ý thức,lơ mơ,,,,,
Viêm niệu quản,đau lưng,tiểu buốt,tiểu nhiều lần,tiểu rắt,,,,
Viêm niệu quản mạn,đau lưng,tiểu ra máu,tiểu buốt,,,,,
Phình động mạch chủ,khó thở,phù chân,mệt mỏi,hồi hộp,,,,
Gout,đau khớp,đau dữ dội về đêm,sưng khớp,,,,,
Ung thư móng,chán ăn,phát ban,sụt cân,ngứa,bong tróc da,mệt mỏi,,
Viêm nội tâm mạc cấp,đau ngực,phù chân,mệt mỏi,đau dữ dội,khó thở,hồi hộp,cứng khớp,
Cảm lạnh,ho,sổ mũi,mệt mỏi,hắt hơi,nghẹt mũi,,,
Ung thư thanh quản,đau ngực,ho có đờm,thở khò khè,chán ăn,ho,,,
Áp xe đường mật,đau,buồn nôn,đau hạ sườn phải,vàng da,sưng,sốt,,
Viêm sụn khớp cấp,cứng khớp,hạn chế vận động,đau dữ dội,,,,,
Nhiễm trùng nang lông,bong tróc da,sốt,ớn lạnh,phát ban,da đỏ,,,
Viêm khí quản cấp,khó thở,đau ngực,sốt,thở khò khè,ho có đờm,,,
Xơ gan,phù chân,đau hạ sườn phải,vàng da,,,,,
Ung thư tâm vị,đầy hơi,sụt cân,chán ăn,ợ chua,mệt mỏi,buồn nôn,,
Nhiễm trùng tuyến tiền liệt,sốt,đau khi quan hệ,ra khí hư,ớn lạnh,đau bụng dưới,,,
Suy thận,tiểu ít,mệt mỏi,phù chân,buồn nôn,da xanh xao,,,
Viêm van tim,đau ngực,sốt,phù chân,mệt mỏi,,,,
Thiếu máu,da xanh xao,chóng mặt,mệt mỏi,,,,,
Sởi,sốt cao,ho,phát ban,,,,,
Ung thư túi mật,vàng da,đau hạ sườn phải,sụt cân,chán ăn,,,,
Viêm cổ tử cung,rối loạn kinh nguyệt,ra khí hư,,,,,,
Sỏi bàng quang,tiểu buốt,ho có đờm,đau lưng,tiểu ra máu,tiểu nhiều lần,,,
Áp xe lách,vàng da,buồn nôn,đau,sốt,mệt mỏi,,,
Viêm tai giữa,sốt,,,,,,,
Viêm tuyến lệ cấp,mờ mắt,mắt đỏ,đau mắt,sốt,,,,
Viêm mống mắt,đau mắt,chảy nước mắt,mắt đỏ,,,,,
Viêm khớp gối,đau xương,sưng khớp,đau khớp,hạn chế vận động,cứng khớp,,,
Nhiễm trùng buồng trứng,đau khi quan hệ,ra khí hư,rối loạn kinh nguyệt,đau bụng dưới,,,,
Rối loạn lo âu,khó thở,lo lắng quá mức,mất ngủ,,,,,
Phình màng ngoài tim,khó thở,phù chân,mệt mỏi,,,,,
U lành tính tinh hoàn,ra khí hư,đau khi quan hệ,,,,,,
Nhiễm trùng mào tinh hoàn,đau khi quan hệ,sốt,đau bụng dưới,,,,,
Viêm tinh hoàn,rối loạn kinh nguyệt,đau khi quan hệ,đau bụng dưới,,,,,
Viêm niệu đạo,tiểu buốt,tiểu ra máu,tiểu nhiều lần,tiểu rắt,sốt,,,
Viêm vòi trứng cấp,đau bụng dưới,sốt,đau dữ dội,ra khí hư,,,,
Sỏi bể thận,tiểu ra máu,tiểu buốt,,,,,,
Cường giáp,hồi hộp,run tay,mất ngủ,sụt cân,,,,
Áp xe gan,sưng,đau,đau hạ sườn phải,sốt,mệt mỏi,chán ăn,,
Rối loạn lo âu,khó thở,lo lắng quá mức,hồi hộp,,,,,
Viêm kết mạc cấp,cộm mắt,đau mắt,mắt đỏ,đau dữ dội,,,,
Viêm nang lông,phát ban,mụn nước,,,,,,
Phình động mạch chủ,mệt mỏi,phù chân,sưng hạch,khó thở,,,,
Áp xe khí quản,khó thở,sốt,thở khò khè,ho có đờm,đau,,,
U lành tính amidan,đau tai,nghẹt mũi,khàn tiếng,,,,,
Ung thư móng,mệt mỏi,sụt cân,bong tróc da,chán ăn,,,,
Ung thư niệu đạo,tiểu nhiều lần,mệt mỏi,đau lưng,tiểu rắt,tiểu buốt,chán ăn,tiểu ra máu,
Viêm hậu môn,đi ngoài ra máu,đau bụng,,,,,,
Ung thư gan,sụt cân,chán ăn,vàng da,đau hạ sườn phải,mệt mỏi,,,
Viêm động mạch chủ mạn,đau ngực,sốt,phù chân,,,,,
Viêm trung thất,ho,ho có đờm,thở khò khè,,,,,
Viêm màng ngoài tim cấp,sốt,đau dữ dội,mệt mỏi,đau ngực,,,,
Lao khớp vai,sưng khớp,đổ mồ hôi đêm,sốt nhẹ,cứng khớp,hạn chế vận động,sụt cân,,
Viêm bể thận,tiểu nhiều lần,tiểu rắt,tiểu ra máu,,,,,
Viêm tá tràng,chán ăn,đầy hơi,ợ chua,sốt,,,,
Viêm thận,đau lưng,tiểu nhiều lần,tiểu buốt,tiểu ra máu,tiểu rắt,sốt,,
Viêm nang lông,sốt,mụn nước,da đỏ,ngứa,,,,
Áp xe đường mật,mệt mỏi,sốt,đau hạ sườn phải,chán ăn,,,,
Viêm giác mạc cấp,chảy nước mắt,đau dữ dội,cộm mắt,mắt đỏ,,,,
Parkinson,chậm chạp,run tay,đi lại khó,mất thăng bằng,cứng đờ,,,
Viêm gân gót,đau xương,sưng khớp,,,,,,
U lành tính tuyến bã,da đỏ,bong tróc da,mụn nước,,,,,
Đau nửa đầu,chóng mặt,đổ mồ hôi đêm,đau đầu,,,,,
Ung thư thận,tiểu rắt,mệt mỏi,sụt cân,chán ăn,tiểu buốt,đau lưng,,
Viêm màng ngoài tim cấp,khó thở,mệt mỏi,phù chân,đau dữ dội,đau ngực,đau tai,,
Ngộ độc thực phẩm,mất nước,sốt,buồn nôn,nôn,tiêu chảy,,,
Viêm trực tràng,tiêu chảy,sốt,táo bón,đau bụng,,,,
Nhiễm trùng ruột thừa,táo bón,ớn lạnh,sốt,đau bụng,tiêu chảy,đầy hơi,,
Nhiễm trùng hồi tràng,sốt,tiêu chảy,táo bón,đầy hơi,ớn lạnh,,,
Viêm trực tràng mạn,táo bón,kéo dài,đầy hơi,đau bụng,,,,
Viêm trực tràng,tiêu chảy,táo bón,đau bụng,,,,,
Tay chân miệng,sốt,phát ban,loét miệng,mệt mỏi,chán ăn,,,
Viêm da cấp,đau dữ dội,bong tróc da,mụn nước,ngứa,,,,
Viêm lách,vàng da,mệt mỏi,đau hạ sườn phải,,,,,
Viêm dây thanh mạn,sốt,đau tai,mệt mỏi,nghẹt mũi,khàn tiếng,,,
Viêm tiểu phế quản cấp,thở khò khè,ho có đờm,khó thở,da đỏ,đau ngực,,,
Viêm tuyến tiền liệt mạn,đau khi quan hệ,đau bụng dưới,ra khí hư,kéo dài,mệt mỏi,,,
Viêm cột sống cổ mạn,nôn,đau xương,cứng khớp,hạn chế vận động,,,,
Viêm tai ngoài,khàn tiếng,đau họng,nghẹt mũi,ho,sốt,,,
Viêm hồi tràng,đi ngoài ra máu,sốt,tiêu chảy,đau bụng,,,,
Viêm khí quản cấp,sốt,ho có đờm,ho,khó thở,đau dữ dội,thở khò khè,,
Ung thư đại tràng,táo bón,nhạy cảm ánh sáng,đi ngoài ra máu,sụt cân,đầy hơi,tiêu chảy,,
U lành tính xoang,ho,khàn tiếng,đau họng,,,,,
Viêm dây thanh mạn,nghẹt mũi,đau họng,ho,đau tai,kéo dài,sốt,,
Viêm van tim,khó thở,phù chân,mệt mỏi,sốt,,,,
Táo bón,đau bụng,đi ngoài khó,phân cứng,,,,,
Đột quỵ,mờ mắt,đau đầu dữ dội,yếu liệt tay chân,méo miệng,nói khó,,,
U lành tính nang lông,da đỏ,bong tróc da,,,,,,
Loét tâm vị,đầy hơi,đau,chóng mặt,đau thượng vị,,,,
Ung thư màng não,chóng mặt,chán ăn,đau đầu,yếu liệt tay chân,tê tay chân,,,
U lành tính họng,nghẹt mũi,đau họng,đau tai,,,,,
Viêm bể thận,tiểu ra máu,tiểu nhiều lần,tiểu rắt,,,,,
Ung thư thực quản,mệt mỏi,đầy hơi,đau thượng vị,sụt cân,buồn nôn,,,
Viêm cột sống cổ mạn,đau xương,mệt mỏi,hạn chế vận động,cứng khớp,sốt,sưng khớp,,
Viêm màng não,sốt cao,đau đầu dữ dội,cứng cổ,nhạy cảm ánh sáng,,,,
Viêm cơ tim mạn,kéo dài,khó thở,phù chân,hồi hộp,đau ngực,sốt,,
Ung thư đường mật,mệt mỏi,đau hạ sườn phải,chán ăn,sụt cân,buồn nôn,vàng da,,
U lành tính cổ tử cung,rối loạn kinh nguyệt,đau bụng dưới,,,,,,
Viêm bao hoạt dịch cấp,đau dữ dội,sưng khớp,hạn chế vận động,sốt,đau quặn thận,cứng khớp,,
Viêm da cấp,sốt,mụn nước,ngứa,bong tróc da,đau dữ dội,phát ban,,
Nhiễm trùng ruột thừa,đi ngoài ra máu,táo bón,,,,,,
U lành tính bờ mi,đau mắt,mờ mắt,chảy nước mắt,cộm mắt,,,,
U lành tính họng,đau họng,đau tai,ho,khàn tiếng,,,,
Đau nửa đầu,chóng mặt,buồn nôn,đau đầu,nhạy cảm ánh sáng,nôn,,,
U lành tính buồng trứng,ra khí hư,đau bụng dưới,đau khi quan hệ,da đỏ,rối loạn kinh nguyệt,,,
Áp xe túi mật,buồn nôn,đau,sốt,vàng da,,,,
Viêm tuyến tiền liệt cấp,đau dữ dội,đau bụng dưới,rối loạn kinh nguyệt,,,,,
Viêm khớp háng cấp,sưng khớp,đau dữ dội,cứng khớp,,,,,
Nhiễm trùng da,ngứa mắt,mụn nước,sốt,ớn lạnh,ngứa,,,
Lao gân gót,hạn chế vận động,sụt cân,cứng khớp,đau khớp,sưng khớp,,,
Viêm gân gót cấp,đau khớp,sốt,cứng khớp,,,,,
Xơ gan,đau hạ sườn phải,phù chân,mệt mỏi,chán ăn,vàng da,,,
Viêm khớp gối cấp,đau dữ dội,đau xương,sốt,cứng khớp,,,,
Ngộ độc thực phẩm,tiêu chảy,đau bụng,méo miệng,sốt,mất nước,buồn nôn,nôn,
Viêm khớp gối mạn,cứng khớp,mệt mỏi,đau xương,đau khớp,sưng khớp,,,
Áp xe phổi,ho có đờm,cứng khớp,ho,sốt,thở khò khè,,,
Polyp thực quản,đầy hơi,đau thượng vị,chán ăn,,,,,
Parkinson,đi lại khó,chậm chạp,mất thăng bằng,run tay,,,,
Phình nội tâm mạc,mệt mỏi,hồi hộp,đau ngực,,,,,
Viêm manh tràng cấp,đau bụng,đau dữ dội,đầy hơi,táo bón,,,,
Ung thư xoang,sụt cân,khàn tiếng,nghẹt mũi,mệt mỏi,,,,
Viêm khí quản,sốt,thở khò khè,khó thở,đau ngực,ho,,,
U lành tính tụy,chán ăn,đau thượng vị,đau hạ sườn phải,,,,,
Sỏi mật,buồn nôn,sốt,vàng da,,,,,
Trầm cảm,mất ngủ,khó tập trung,chán ăn,buồn bã kéo dài,,,,
Nhồi máu cơ tim,đổ mồ hôi lạnh,hồi hộp,khó thở,đau ngực,,,,
U lành tính lách,chán ăn,vàng da,mệt mỏi,,,,,
Viêm giác mạc mạn,cộm mắt,chảy nước mắt,mắt đỏ,kéo dài,đau mắt,mệt mỏi,,
Viêm da,sốt,ngứa,mụn nước,bong tróc da,phát ban,da đỏ,,
Thoái hóa bao hoạt dịch,cứng khớp,đau khớp,đau xương,,,,,
Viêm mống mắt mạn,đau mắt,chảy nước mắt,cộm mắt,,,,,
Viêm màng ngoài tim,đau ngực,khó thở,phù chân,,,,,
Viêm kết mạc mạn,mờ mắt,kéo dài,mệt mỏi,mắt đỏ,đau mắt,sốt,,
Viêm tuyến tiền liệt,đau khi quan hệ,sốt,đau bụng dưới,,,,,
Viêm võng mạc mạn,mắt đỏ,chảy nước mắt,đau mắt,mệt mỏi,kéo dài,sốt,cộm mắt,
Ung thư niệu đạo,đau lưng,sụt cân,tiểu buốt,tiểu ra máu,mệt mỏi,,,
Viêm móng cấp,da đỏ,bong tróc da,ngứa,sốt,,,,
Viêm thận cấp,tiểu rắt,tiểu nhiều lần,tiểu ra máu,đau dữ dội,đau lưng,sốt,,
Suy giáp,mệt mỏi,táo bón,rụng tóc,sợ lạnh,ngứa mắt,tăng cân,,
Viêm vòm họng cấp,khàn tiếng,đau tai,nghẹt mũi,đau họng,,,,
Thoái hóa khớp háng,cứng khớp,đau xương,đau khớp,,,,,
Viêm kết mạc mạn,mờ mắt,sốt,kéo dài,đau mắt,cộm mắt,,,
U lành tính bờ mi,cộm mắt,chảy nước mắt,mắt đỏ,mờ mắt,đau mắt,,,
Viêm võng mạc cấp,chảy nước mắt,mờ mắt,mắt đỏ,đau dữ dội,,,,
Nhiễm trùng ruột non,đau bụng,táo bón,đi ngoài ra máu,ớn lạnh,đầy hơi,tiểu ít,,
Viêm tai giữa cấp,khàn tiếng,đau tai,đau họng,ho,sốt,đau dữ dội,,
Viêm tâm vị,sốt,ợ chua,chán ăn,đau thượng vị,đầy hơi,buồn nôn,,
Ung thư dây thanh,đau họng,ho,mệt mỏi,khàn tiếng,chán ăn,sụt cân,,
Viêm thực quản,đầy hơi,,,,,,,
Ung thư cổ tử cung,rối loạn kinh nguyệt,đau bụng dưới,chán ăn,sụt cân,đau khi quan hệ,ra khí hư,mệt mỏi,
Viêm mào tinh hoàn,đau bụng dưới,ra khí hư,sốt,,,,,
Viêm võng mạc,sốt,cộm mắt,mắt đỏ,mờ mắt,,,,
Viêm trực tràng mạn,mệt mỏi,tiêu chảy,kéo dài,táo bón,sốt,đi ngoài ra máu,đau bụng,đầy hơi
Thoái hóa khớp gối,cứng khớp,đau khớp,hạn chế vận động,đau xương,,,,
Viêm cột sống cổ mạn,sốt,hạn chế vận động,cứng khớp,sưng khớp,,,,
Viêm họng mạn,mệt mỏi,đau họng,kéo dài,khàn tiếng,sốt,đau tai,ho,
Phình cơ tim,khó thở,mệt mỏi,,,,,,
Viêm màng não,sốt cao,đau đầu dữ dội,cứng cổ,lơ mơ,nhạy cảm ánh sáng,,,
Viêm tai giữa mạn,đau tai,kéo dài,khàn tiếng,nghẹt mũi,,,,
Viêm khớp vai,khó nuốt,đau khớp,đau xương,sốt,sưng khớp,,,
Nhiễm trùng niệu đạo,đau lưng,ớn lạnh,tiểu buốt,tiểu rắt,,,,
Lao sụn khớp,đổ mồ hôi đêm,hạn chế vận động,đau khớp,sụt cân,,,,
Viêm thận mạn,tiểu ra máu,đau lưng,tiểu buốt,mệt mỏi,sốt,,,
Viêm vòi trứng mạn,mệt mỏi,đau khi quan hệ,đau bụng dưới,sốt,rối loạn kinh nguyệt,,,
Hẹp màng ngoài tim,khó thở,mệt mỏi,hồi hộp,phù chân,,,,
U lành tính vòm họng,đau họng,ho,nghẹt mũi,,,,,
Thoái hóa khớp gối,hạn chế vận động,đau xương,sưng khớp,cứng khớp,,,,
Áp xe phổi,sốt,ho,ho có đờm,,,,,
Viêm trực tràng mạn,sốt,kéo dài,táo bón,ù tai,tiêu chảy,đầy hơi,,
Nhiễm trùng niệu quản,đau lưng,tiểu ra máu,,,,,,
Thoái hóa bao hoạt dịch,cứng khớp,sưng khớp,hạn chế vận động,,,,,
Viêm phế quản mạn,ho có đờm,khó thở,sốt,đau ngực,,,,
Viêm tử cung mạn,đau khi quan hệ,,,,,,,
Viêm buồng trứng mạn,đau khi quan hệ,sốt,rối loạn kinh nguyệt,,,,,
Viêm túi mật,chán ăn,buồn nôn,mệt mỏi,vàng da,,,,
Viêm nội tâm mạc mạn,khó thở,hồi hộp,đau ngực,,,,,
Viêm cột sống cổ cấp,sưng khớp,đau dữ dội,sốt,hạn chế vận động,cứng khớp,đau xương,,
Viêm gân gót cấp,cứng khớp,sốt,đau mắt,đau dữ dội,hạn chế vận động,sưng khớp,đau khớp,
Hẹp động mạch chủ,đau ngực,mệt mỏi,hồi hộp,khó thở,,,,
Ung thư thận,tiểu rắt,sụt cân,tiểu nhiều lần,đau lưng,chán ăn,tiểu buốt,,
Viêm hậu môn,đi ngoài ra máu,sốt,đau bụng,,,,,
Ung thư màng phổi,ho có đờm,ho,sụt cân,thở khò khè,chán ăn,khó thở,,
Viêm màng ngoài tim mạn,phù chân,mệt mỏi,khó thở,hồi hộp,sốt,kéo dài,,
Viêm van tim,mệt mỏi,phù chân,hồi hộp,,,,,
Viêm gân gót,đau xương,cứng khớp,sưng khớp,sốt,,,,
Viêm van tim,đau ngực,hồi hộp,phù chân,mệt mỏi,,,,
Ung thư gan,mệt mỏi,sụt cân,,,,,,
Viêm thận mạn,tiểu nhiều lần,mệt mỏi,tiểu ra máu,,,,,
Áp xe đường mật,đau,đau hạ sườn phải,chán ăn,buồn nôn,mệt mỏi,sốt,sưng,
Viêm bàng quang cấp,sốt,tiểu nhiều lần,tiểu rắt,tiểu buốt,,,,
Viêm dây thần kinh,tê tay chân,đau đầu,chóng mặt,sốt,,,,
Ung thư tuyến bã,bong tróc da,mụn nước,mệt mỏi,da đỏ,phát ban,sụt cân,,
Viêm khớp dạng thấp,sưng khớp,cứng khớp,đau khớp,,,,,
Hẹp động mạch chủ,khó thở,đau ngực,mệt mỏi,,,,,
U lành tính vòm họng,đau họng,khàn tiếng,nghẹt mũi,ho,đau tai,,,
Viêm trực tràng mạn,đầy hơi,mệt mỏi,táo bón,đi ngoài ra máu,tiêu chảy,đau bụng,,
Áp xe gan,buồn nôn,đau hạ sườn phải,chán ăn,mệt mỏi,vàng da,sốt,,
Viêm đại tràng cấp,táo bón,tiêu chảy,đầy hơi,đi ngoài ra máu,đau bụng,,,
Viêm móng,sốt,mụn nước,ngứa,,,,,
Viêm tai giữa cấp,đau họng,nghẹt mũi,đau tai,đau dữ dội,,,,
Viêm khớp háng,sốt,sưng khớp,,,,,,
Viêm thận cấp,đau lưng,tiểu rắt,tiểu ra máu,sốt,,,,
Viêm ruột thừa cấp,tiêu chảy,táo bón,đau bụng,đi ngoài ra máu,đầy hơi,sốt,,
Viêm tụy mạn,vàng da,mệt mỏi,sốt,,,,,
Viêm thận mạn,đau lưng,tiểu ra máu,tiểu nhiều lần,tiểu buốt,kéo dài,tiểu rắt,,
Viêm gan,buồn nôn,mệt mỏi,chán ăn,vàng da,đau hạ sườn phải,,,
Nhiễm trùng buồng trứng,rối loạn kinh nguyệt,sốt,ra khí hư,đau bụng dưới,,,,
Viêm van tim cấp,nước tiểu đục,đau ngực,khó thở,phù chân,,,,
Viêm ruột non mạn,táo bón,đau bụng,kéo dài,đầy hơi,,,,
Viêm túi mật,vàng da,mệt mỏi,cứng khớp,chán ăn,,,,
Viêm phế quản,sốt nhẹ,ho có đờm,khó thở,,,,,
Viêm kết mạc,chảy nước mắt,ngứa mắt,cộm mắt,ghèn mắt,mắt đỏ,,,
U lành tính vòm họng,đau họng,ho,đau tai,nghẹt mũi,,,,
Polyp tâm vị,buồn nôn,đau thượng vị,đầy hơi,chán ăn,đi ngoài ra máu,,,
Polyp manh tràng,đi ngoài ra máu,đau bụng,tiêu chảy,,,,,
Viêm đại tràng cấp,đau bụng,đi ngoài ra máu,tiêu chảy,sốt,,,,
Nhiễm trùng niệu đạo,tiểu nhiều lần,tiểu buốt,tiểu rắt,,,,,
Cường giáp,sụt cân,mất ngủ,run tay,hồi hộp,lồi mắt,,,
Viêm nội tâm mạc cấp,đau ngực,khó thở,phù chân,mệt mỏi,sốt,hồi hộp,,
Viêm sụn khớp,đau xương,cứng khớp,sưng khớp,đau khớp,sốt,,,
Dị ứng,hắt hơi,ngứa,nghẹt mũi,chảy nước mắt,,,,
Viêm amidan cấp,đau họng,sốt,nghẹt mũi,ho,khàn tiếng,đau tai,,
Đột quỵ,nói khó,đau đầu dữ dội,méo miệng,mờ mắt,,,,
Hen suyễn,ho,thở khò khè,khó thở,,,,,
Viêm tụy cấp,đau hạ sườn phải,buồn nôn,mệt mỏi,,,,,
U lành tính tụy,đau hạ sườn phải,vàng da,chán ăn,,,,,
Viêm võng mạc cấp,đau dữ dội,sốt,cộm mắt,chảy nước mắt,đau mắt,mờ mắt,mắt đỏ,
Viêm âm đạo,tăng cân,rối loạn kinh nguyệt,ra khí hư,,,,,
Viêm tiểu phế quản,khó thở,thở khò khè,đau ngực,ho,,,,
Viêm giác mạc mạn,đau mắt,mắt đỏ,mệt mỏi,chảy nước mắt,,,,
Ung thư tá tràng,sụt cân,ợ chua,rối loạn kinh nguyệt,đầy hơi,,,,
Áp xe túi mật,vàng da,sưng,đau hạ sườn phải,sốt,,,,
Viêm cơ tim,vàng da,hồi hộp,phù chân,khó thở,mệt mỏi,đau ngực,sốt,
Viêm giác mạc cấp,đau dữ dội,mắt đỏ,sốt,cộm mắt,,,,
Động kinh,co giật,mất ý thức,đau đầu,,,,,
Loét tá tràng,ợ chua,chán ăn,buồn nôn,,,,,
Cảm cúm,sốt cao,đau họng,đau nhức cơ,mệt mỏi,ớn lạnh,,,
Viêm cột sống mạn,hạn chế vận động,kéo dài,đau xương,tiểu ra máu,mệt mỏi,cứng khớp,,
Nhiễm trùng da,ngứa,ớn lạnh,sốt,mụn nước,phát ban,bong tróc da,,
Viêm lách cấp,mệt mỏi,chán ăn,sốt,đau hạ sườn phải,buồn nôn,,,
Ung thư da,chán ăn,sụt cân,mụn nước,da đỏ,phát ban,,,
