Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Tiêu chảy cấp,đau bụng,sốt,tiêu chảy,nôn,mất nước,,,
Viêm họng,khó nuốt,đau họng,sưng hạch,,,,,
Tiêu chảy cấp,tiêu chảy,đau bụng,,,,,,
Viêm dạ dày,ợ chua,đau bụng,nôn,,,,,
Viêm dạ dày,đau bụng,ợ chua,buồn nôn,nôn,,,,
Sốt xuất huyết,sốt cao,chảy máu cam,phát ban,đau đầu,nghẹt mũi,đau sau hốc mắt,,
Dị ứng,phát ban,ngứa,hắt hơi,,,,,
Viêm xoang,đau mặt,nghẹt mũi,đau đầu,,,,,
Dị ứng,ngứa,hắt hơi,,,,,,
Thủy đậu,mệt mỏi,sốt,chán ăn,ngứa,phát ban,,,
Tiêu chảy cấp,buồn nôn,tiêu chảy,đau bụng,sốt,mất nước,,,
Sốt rét,mệt mỏi,ớn lạnh,sốt cao,đổ mồ hôi,,,,
Đau nửa đầu,chóng mặt,nhạy cảm ánh sáng,nôn,đau đầu,,,,
Sốt xuất huyết,chán ăn,sốt cao,phát ban,đau sau hốc mắt,,,,
Viêm dạ dày,đầy hơi,buồn nôn,đau bụng,ợ chua,,,,
Sốt xuất huyết,phát ban,đau sau hốc mắt,đau đầu,đau khớp,buồn nôn,sốt cao,,
Viêm phế quản,sốt nhẹ,ho có đờm,khó thở,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,,,,,,
Đau nửa đầu,buồn nôn,nhạy cảm ánh sáng,đau đầu,,,,,
Tiêu chảy cấp,tiêu chảy,buồn nôn,sốt,,,,,
Hen suyễn,thở khò khè,khó thở,đau ngực,,,,,
Viêm xoang,giảm khứu giác,nghẹt mũi,đau đầu,sổ mũi,đau mặt,,,
Cảm lạnh,nghẹt mũi,sổ mũi,đau họng,,,,,
Thủy đậu,ngứa,mệt mỏi,khó thở,phát ban,,,,
Thủy đậu,ngứa,chán ăn,sốt,mệt mỏi,phát ban,,,
Đau nửa đầu,đau đầu,chóng mặt,nhạy cảm ánh sáng,nôn,,,,
Viêm họng,đau họng,sưng hạch,khó nuốt,ho,,,,
Cảm lạnh,sổ mũi,hắt hơi,ho,nghẹt mũi,đau họng,,,
Dị ứng,ngứa,nghẹt mũi,hắt hơi,,,,,
Đau nửa đầu,đau đầu,nhạy cảm ánh sáng,chóng mặt,buồn nôn,,,,
Viêm xoang,đau mặt,đau đầu,nghẹt mũi,,,,,
Sốt xuất huyết,sốt cao,đau sau hốc mắt,buồn nôn,phát ban,chảy máu cam,,,
Viêm xoang,giảm khứu giác,nghẹt mũi,sổ mũi,đau mặt,,,,
Viêm xoang,nghẹt mũi,đau mặt,sổ mũi,,,,,
Dị ứng,ngứa,chảy nước mắt,hắt hơi,phát ban,đau khớp,,,
Dị ứng,hắt hơi,phát ban,ngứa,,,,,
Hen suyễn,đau ngực,khó thở,thở khò khè,,,,,
Thủy đậu,phát ban,ngứa,sốt,chán ăn,,,,
Sốt rét,buồn nôn,phát ban,đổ mồ hôi,sốt cao,ớn lạnh,,,
Đau nửa đầu,chóng mặt,đau đầu,nôn,buồn nôn,,,,
Cảm lạnh,nghẹt mũi,hắt hơi,sổ mũi,ho,,,,
Tiêu chảy cấp,mất nước,đau bụng,buồn nôn,tiêu chảy,,,,
Viêm phế quản,khó thở,ho có đờm,mệt mỏi,,,,,
Viêm phổi,ớn lạnh,ho có đờm,đau ngực,sốt cao,khó thở,,,
Sốt xuất huyết,đau sau hốc mắt,đau khớp,phát ban,sốt cao,chảy máu cam,buồn nôn,,
Viêm dạ dày,nôn,đau bụng,ợ chua,,,,,
Sốt xuất huyết,buồn nôn,sốt cao,đau sau hốc mắt,đau đầu,phát ban,,,
Cảm lạnh,mệt mỏi,sổ mũi,nghẹt mũi,hắt hơi,ho,,,
Dị ứng,phát ban,hắt hơi,nghẹt mũi,chảy nước mắt,ngứa,,,
Viêm dạ dày,đầy hơi,đau bụng,ợ chua,,,,,
Đau nửa đầu,đau đầu,nôn,chóng mặt,nhạy cảm ánh sáng,,,,
Cảm lạnh,nghẹt mũi,hắt hơi,sổ mũi,ho,mệt mỏi,,,
Viêm phế quản,đau ngực,ho có đờm,,,,,,
Sốt rét,sốt,đau đầu,đổ mồ hôi,sốt cao,ớn lạnh,buồn nôn,mệt mỏi,
Viêm phổi,sốt cao,khó thở,đau ngực,mệt mỏi,ho có đờm,,,
Viêm dạ dày,nôn,ợ chua,đau bụng,chán ăn,,,,
Viêm dạ dày,đầy hơi,ợ chua,buồn nôn,đau bụng,,,,
Sốt rét,đổ mồ hôi,mệt mỏi,sốt cao,ớn lạnh,đau đầu,,,
Viêm xoang,nghẹt mũi,đau đầu,đau mặt,sổ mũi,,,,
Thủy đậu,phát ban,ngứa,,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,khó nuốt,,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,,,,,,
Viêm xoang,đau mặt,nghẹt mũi,,,,,,
Cảm lạnh,nghẹt mũi,hắt hơi,sổ mũi,ho,,,,
Thủy đậu,phát ban,sổ mũi,sốt,ngứa,,,,
Dị ứng,phát ban,hắt hơi,nghẹt mũi,ngứa,,,,
Tiêu chảy cấp,đau bụng,mất nước,nôn,tiêu chảy,buồn nôn,sốt,,
Viêm phổi,khó thở,sốt cao,đau ngực,ớn lạnh,ho có đờm,,,
Viêm dạ dày,đau bụng,buồn nôn,đầy hơi,chán ăn,,,,
Đau nửa đầu,sốt,đau đầu,nhạy cảm ánh sáng,buồn nôn,,,,
Hen suyễn,ho,thở khò khè,khó thở,,,,,
Viêm xoang,nghẹt mũi,đau mặt,đau đầu,,,,,
Viêm xoang,nghẹt mũi,đau mặt,sổ mũi,đau đầu,,,,
Viêm dạ dày,chán ăn,đau bụng,ợ chua,buồn nôn,đầy hơi,,,
Thủy đậu,sốt,phát ban,ngứa,mệt mỏi,,,,
Viêm phế quản,sốt nhẹ,khó thở,ho có đờm,,,,,
Sốt rét,sốt cao,ớn lạnh,buồn nôn,mệt mỏi,đổ mồ hôi,,,
Viêm phổi,ớn lạnh,sốt cao,ho có đờm,khó thở,,,,
Viêm phổi,ho có đờm,khó thở,sốt cao,ớn lạnh,mệt mỏi,ho,,
Cảm lạnh,sổ mũi,nghẹt mũi,hắt hơi,mệt mỏi,,,,
Viêm dạ dày,ợ chua,chán ăn,đầy hơi,đau bụng,,,,
Viêm dạ dày,chán ăn,đau bụng,đầy hơi,ợ chua,,,,
Đau nửa đầu,nhạy cảm ánh sáng,buồn nôn,đau đầu,chóng mặt,,,,
Hen suyễn,thở khò khè,khó thở,,,,,,
Đau nửa đầu,buồn nôn,nôn,nhạy cảm ánh sáng,đau đầu,,,,
Viêm phế quản,sốt nhẹ,đau ngực,mệt mỏi,ho có đờm,khó thở,,,
Sốt rét,mệt mỏi,ớn lạnh,sốt cao,buồn nôn,đổ mồ hôi,,,
Tiêu chảy cấp,đau bụng,buồn nôn,tiêu chảy,nôn,,,,
Viêm phế quản,khó thở,ho có đờm,,,,,,
Cảm cúm,đau nhức cơ,ớn lạnh,ho,sốt cao,,,,
Sốt rét,mệt mỏi,sốt cao,ớn lạnh,đổ mồ hôi,,,,
Thủy đậu,chán ăn,sốt,phát ban,ngứa,,,,
Viêm phế quản,khó thở,đau ngực,ho có đờm,,,,,
Cảm lạnh,đau họng,mệt mỏi,sổ mũi,nghẹt mũi,,,,
Cảm lạnh,hắt hơi,sổ mũi,mệt mỏi,ho,nghẹt mũi,,,
Viêm dạ dày,buồn nôn,ho có đờm,ợ chua,đau bụng,,,,
Viêm phổi,ho có đờm,khó thở,sốt cao,sốt,mệt mỏi,,,
Sốt rét,buồn nôn,mệt mỏi,đổ mồ hôi,ớn lạnh,sốt cao,đau đầu,,
Viêm phổi,sốt cao,khó thở,ho có đờm,đau ngực,,,,
Hen suyễn,thở khò khè,đau ngực,ho,khó thở,,,,
Hen suyễn,ho,khó thở,thở khò khè,khó nuốt,,,,
Tiêu chảy cấp,nôn,sốt,tiêu chảy,mất nước,,,,
Viêm phổi,ớn lạnh,đau ngực,khó thở,ho có đờm,sốt cao,mệt mỏi,,
Tiêu chảy cấp,tiêu chảy,đau bụng,mất nước,,,,,
Hen suyễn,ho,khó thở,thở khò khè,,,,,
Viêm dạ dày,ợ chua,đau bụng,,,,,,
Sốt rét,buồn nôn,sốt cao,đổ mồ hôi,ớn lạnh,,,,
Cảm lạnh,nghẹt mũi,mệt mỏi,sổ mũi,hắt hơi,đau họng,,,
Đau nửa đầu,chóng mặt,nhạy cảm ánh sáng,đau đầu,buồn nôn,,,,
Đau nửa đầu,đau đầu,nôn,nhạy cảm ánh sáng,,,,,
Thủy đậu,mệt mỏi,ngứa,phát ban,,,,,
Viêm phổi,ho có đờm,sốt cao,khó thở,,,,,
Viêm phế quản,sốt nhẹ,khó thở,mệt mỏi,ho có đờm,,,,
Viêm họng,sưng hạch,khó nuốt,,,,,,
Sốt rét,buồn nôn,đau đầu,sốt cao,đổ mồ hôi,mệt mỏi,ớn lạnh,,
Hen suyễn,ho,đau ngực,thở khò khè,khó thở,,,,
Hen suyễn,thở khò khè,đau ngực,khó thở,,,,,
Cảm lạnh,hắt hơi,mệt mỏi,nghẹt mũi,sổ mũi,đau họng,,,
Viêm phế quản,ho có đờm,khó thở,,,,,,
Cảm lạnh,nghẹt mũi,mệt mỏi,sổ mũi,ho,hắt hơi,,,
Cảm lạnh,sổ mũi,hắt hơi,nghẹt mũi,mệt mỏi,,,,
Cảm cúm,đau nhức cơ,đau đầu,ho,mệt mỏi,sốt cao,đau họng,,
Viêm dạ dày,ợ chua,đau bụng,buồn nôn,,,,,
Dị ứng,hắt hơi,ngứa,phát ban,,,,,
Viêm phế quản,giảm khứu giác,ho có đờm,khó thở,mệt mỏi,sốt nhẹ,,,
Viêm dạ dày,ợ chua,chán ăn,đau bụng,,,,,
Viêm phế quản,ho có đờm,đau ngực,khó thở,,,,,
Viêm xoang,đau mặt,nghẹt mũi,giảm khứu giác,,,,,
Viêm họng,đau họng,ho,sưng hạch,,,,,
Sốt xuất huyết,buồn nôn,phát ban,đau đầu,đau sau hốc mắt,chảy máu cam,sốt cao,nhạy cảm ánh sáng,đau khớp
Tiêu chảy cấp,đau bụng,tiêu chảy,sốt,,,,,
Viêm xoang,nghẹt mũi,giảm khứu giác,đau mặt,đau đầu,,,,
Sốt rét,đổ mồ hôi,ớn lạnh,đau đầu,sốt cao,,,,
Dị ứng,nghẹt mũi,phát ban,chảy nước mắt,ngứa,hắt hơi,,,
Sốt rét,sốt cao,ớn lạnh,mệt mỏi,,,,,
Dị ứng,hắt hơi,phát ban,,,,,,
Sốt xuất huyết,sốt cao,buồn nôn,phát ban,đau sau hốc mắt,,,,
Viêm xoang,đau đầu,phát ban,nghẹt mũi,đau mặt,,,,
Tiêu chảy cấp,buồn nôn,đau bụng,tiêu chảy,nôn,,,,
Tiêu chảy cấp,đau bụng,tiêu chảy,,,,,,
Thủy đậu,phát ban,chán ăn,ngứa,,,,,
Viêm họng,đau họng,ho,khó nuốt,,,,,
Dị ứng,ngứa,nghẹt mũi,hắt hơi,,,,,
Viêm phổi,ho có đờm,ớn lạnh,sốt cao,khó thở,mệt mỏi,,,
Hen suyễn,sốt,thở khò khè,khó thở,đau ngực,,,,
Viêm phổi,ho có đờm,ớn lạnh,khó thở,sốt cao,,,,
Viêm họng,sốt,đau họng,khó nuốt,,,,,
Viêm phổi,mệt mỏi,đau ngực,sốt cao,ớn lạnh,khó thở,ho có đờm,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Viêm dạ dày,chán ăn,đầy hơi,đau bụng,ợ chua,,,,
Thủy đậu,mệt mỏi,ngứa,phát ban,,,,,
Tiêu chảy cấp,nhạy cảm ánh sáng,buồn nôn,đau bụng,tiêu chảy,nôn,,,
Hen suyễn,khó thở,đau ngực,ho,thở khò khè,,,,
Viêm dạ dày,đau bụng,ợ chua,,,,,,
Thủy đậu,phát ban,ngứa,mệt mỏi,chán ăn,,,,
Thủy đậu,sốt,ngứa,,,,,,
Sốt xuất huyết,sốt cao,đau khớp,đau sau hốc mắt,phát ban,,,,
Dị ứng,hắt hơi,ngứa,phát ban,,,,,
Cảm cúm,sốt cao,đau nhức cơ,mệt mỏi,ho,đau đầu,ớn lạnh,,
Viêm họng,sưng hạch,khó nuốt,đau họng,,,,,
Cảm cúm,mệt mỏi,ho,đau đầu,sốt cao,đau nhức cơ,,,
Viêm xoang,đau mặt,nghẹt mũi,giảm khứu giác,,,,,
Đau nửa đầu,đau đầu,đau khớp,,,,,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,đau đầu,đau khớp,phát ban,buồn nôn,khó nuốt,
Viêm xoang,giảm khứu giác,đau mặt,đau đầu,nghẹt mũi,,,,
Tiêu chảy cấp,tiêu chảy,buồn nôn,đau bụng,mất nước,,,,
Tiêu chảy cấp,tiêu chảy,nôn,buồn nôn,đau bụng,,,,
Sốt rét,buồn nôn,đổ mồ hôi,ớn lạnh,mệt mỏi,sốt cao,,,
Tiêu chảy cấp,mất nước,tiêu chảy,đau bụng,,,,,
Hen suyễn,khó thở,thở khò khè,ho,đau ngực,,,,
Thủy đậu,ngứa,phát ban,chán ăn,sổ mũi,sốt,,,
Viêm phế quản,ho có đờm,đau ngực,khó thở,sốt nhẹ,,,,
Viêm phế quản,khó thở,ho có đờm,sốt nhẹ,,,,,
Viêm họng,ho,sốt,sưng hạch,đau họng,khó nuốt,,,
Thủy đậu,mệt mỏi,phát ban,ngứa,,,,,
Sốt xuất huyết,sốt cao,đau sau hốc mắt,phát ban,,,,,
Viêm phế quản,khó thở,ho có đờm,,,,,,
Viêm phế quản,sốt nhẹ,mệt mỏi,khó thở,ho có đờm,,,,
Viêm phế quản,ho có đờm,mệt mỏi,khó thở,,,,,
Viêm họng,ho,đau họng,khó nuốt,sốt,,,,
Viêm họng,đau họng,sốt,sưng hạch,khó nuốt,,,,
Viêm dạ dày,ợ chua,chán ăn,nôn,đầy hơi,đau bụng,,,
Hen suyễn,thở khò khè,khó thở,buồn nôn,,,,,
Sốt xuất huyết,đau đầu,đau sau hốc mắt,sốt cao,chảy máu cam,buồn nôn,đau khớp,,
Viêm họng,khó nuốt,đau họng,,,,,,
Viêm xoang,giảm khứu giác,đau mặt,sổ mũi,,,,,
Sốt xuất huyết,đau đầu,sốt cao,đau sau hốc mắt,chán ăn,phát ban,,,
Viêm phế quản,mệt mỏi,ho có đờm,khó thở,,,,,
Hen suyễn,thở khò khè,đau ngực,khó thở,,,,,
Thủy đậu,ngứa,mệt mỏi,phát ban,chán ăn,,,,
Viêm xoang,sổ mũi,nghẹt mũi,đau mặt,,,,,
Hen suyễn,đau ngực,khó thở,,,,,,
Cảm cúm,sốt cao,mệt mỏi,đau đầu,đau nhức cơ,đau họng,,,
Sốt rét,buồn nôn,sốt cao,ớn lạnh,,,,,
Sốt rét,đổ mồ hôi,sốt cao,ớn lạnh,mệt mỏi,sốt,,,
Đau nửa đầu,đau đầu,buồn nôn,nhạy cảm ánh sáng,chóng mặt,,,,
Viêm xoang,giảm khứu giác,nghẹt mũi,đau mặt,sổ mũi,,,,
Viêm phế quản,đau đầu,đau ngực,ho có đờm,khó thở,mệt mỏi,sốt nhẹ,,
Tiêu chảy cấp,sốt,buồn nôn,mất nước,đau bụng,tiêu chảy,,,
Hen suyễn,thở khò khè,khó thở,ho,,,,,
Tiêu chảy cấp,tiêu chảy,buồn nôn,mất nước,giảm khứu giác,,,,
Viêm dạ dày,nôn,ợ chua,đau bụng,,,,,
Viêm phổi,sốt cao,mệt mỏi,ho có đờm,khó thở,,,,
Viêm họng,sưng hạch,đau họng,khó nuốt,ho,,,,
Tiêu chảy cấp,buồn nôn,nôn,mất nước,đau bụng,tiêu chảy,,,
Dị ứng,hắt hơi,chảy nước mắt,ngứa,,,,,
Cảm lạnh,sổ mũi,ho,nghẹt mũi,hắt hơi,mệt mỏi,,,
Viêm xoang,nghẹt mũi,đau mặt,sổ mũi,,,,,
Cảm lạnh,mệt mỏi,sổ mũi,đau họng,hắt hơi,nghẹt mũi,ho,,
Thủy đậu,sốt,ngứa,phát ban,,,,,
Viêm phổi,sốt cao,khó thở,ho có đờm,,,,,
Viêm họng,ho,khó nuốt,sưng hạch,đau họng,sốt,,,
Viêm dạ dày,đau bụng,buồn nôn,chán ăn,ợ chua,,,,
Viêm xoang,sổ mũi,giảm khứu giác,đau mặt,đau đầu,nghẹt mũi,,,
Thủy đậu,mệt mỏi,phát ban,ngứa,,,,,
Viêm phổi,mệt mỏi,sốt cao,đau ngực,ớn lạnh,ho có đờm,khó thở,,
Viêm phế quản,đau ngực,khó thở,sốt nhẹ,ho có đờm,,,,
Viêm xoang,đau đầu,đau mặt,giảm khứu giác,sổ mũi,nghẹt mũi,,,
Viêm xoang,nghẹt mũi,sổ mũi,đau mặt,,,,,
Viêm phế quản,khó thở,ho có đờm,mệt mỏi,sốt nhẹ,,,,
Viêm phổi,sốt cao,ho có đờm,khó nuốt,khó thở,ớn lạnh,mệt mỏi,,
Viêm phổi,mệt mỏi,ho có đờm,sốt cao,ớn lạnh,đau ngực,,,
Cảm lạnh,hắt hơi,ho,nghẹt mũi,đau họng,sổ mũi,,,
Hen suyễn,thở khò khè,khó thở,,,,,,
Viêm phế quản,ho có đờm,đau ngực,mệt mỏi,khó thở,,,,
Thủy đậu,mệt mỏi,phát ban,chán ăn,ngứa,,,,
Viêm dạ dày,đau bụng,nôn,ợ chua,,,,,
Cảm lạnh,nghẹt mũi,sổ mũi,hắt hơi,mệt mỏi,,,,
Sốt rét,sốt cao,mệt mỏi,đau đầu,đổ mồ hôi,,,,
Viêm phổi,ho có đờm,sốt cao,khó thở,,,,,
Viêm dạ dày,ợ chua,chán ăn,đầy hơi,nôn,đau bụng,,,
Sốt rét,ớn lạnh,sốt cao,buồn nôn,đổ mồ hôi,đau đầu,,,
Thủy đậu,sốt,phát ban,ngứa,,,,,
Sốt rét,đổ mồ hôi,mệt mỏi,ớn lạnh,sốt cao,đau đầu,,,
Viêm xoang,sổ mũi,đau mặt,,,,,,
Viêm phế quản,khó thở,ho có đờm,mệt mỏi,,,,,
Viêm phổi,đau ngực,khó thở,ớn lạnh,sốt cao,ho có đờm,,,
Sốt rét,sốt cao,mệt mỏi,đau đầu,đổ mồ hôi,ớn lạnh,buồn nôn,,
Sốt xuất huyết,đau họng,đau khớp,sốt cao,đau sau hốc mắt,,,,
Cảm lạnh,ho,hắt hơi,nghẹt mũi,sổ mũi,,,,
Thủy đậu,ngứa,mệt mỏi,phát ban,,,,,
Viêm họng,khó nuốt,đau họng,sưng hạch,ho,,,,
Tiêu chảy cấp,tiêu chảy,mất nước,sốt,nôn,đau bụng,,,
Viêm phổi,ho có đờm,sốt cao,khó thở,đau ngực,,,,
Viêm phổi,ho có đờm,mệt mỏi,khó thở,sốt cao,,,,
Viêm xoang,đau mặt,nghẹt mũi,sổ mũi,giảm khứu giác,đau đầu,,,
Viêm dạ dày,ợ chua,nôn,chán ăn,đau bụng,buồn nôn,,,
Viêm phổi,sốt cao,ho có đờm,khó thở,đau ngực,,,,
Viêm phế quản,ho có đờm,đau ngực,khó thở,,,,,
Viêm dạ dày,nôn,ợ chua,đau bụng,chán ăn,,,,
Sốt rét,sốt cao,đổ mồ hôi,ớn lạnh,đau đầu,,,,
Hen suyễn,thở khò khè,đau ngực,ho,khó thở,,,,
Thủy đậu,sốt,ngứa,,,,,,
Sốt rét,đổ mồ hôi,buồn nôn,đau đầu,sốt cao,mệt mỏi,ớn lạnh,,
Đau nửa đầu,buồn nôn,nhạy cảm ánh sáng,chóng mặt,nôn,đau đầu,,,
Viêm họng,ho,khó nuốt,sốt,,,,,
Cảm lạnh,mệt mỏi,sổ mũi,đau họng,hắt hơi,nghẹt mũi,,,
Viêm phổi,khó thở,ớn lạnh,ho có đờm,sốt cao,,,,
Sốt xuất huyết,đau đầu,sốt cao,chảy máu cam,đau khớp,đau sau hốc mắt,phát ban,buồn nôn,
Sốt xuất huyết,đau đầu,đau sau hốc mắt,sốt cao,buồn nôn,phát ban,đau khớp,,
Dị ứng,khó nuốt,ngứa,hắt hơi,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,buồn nôn,chóng mặt,đau đầu,đầy hơi,nôn,,
Dị ứng,phát ban,ngứa,chảy nước mắt,hắt hơi,nghẹt mũi,,,
Cảm cúm,đau họng,đau đầu,đau nhức cơ,sốt cao,mệt mỏi,,,
Hen suyễn,thở khò khè,,,,,,,
Cảm cúm,đau họng,đau đầu,sốt cao,mệt mỏi,đau nhức cơ,,,
Viêm dạ dày,nôn,ợ chua,đau bụng,,,,,
Cảm lạnh,nghẹt mũi,hắt hơi,đau họng,sổ mũi,,,,
Viêm họng,đau họng,,,,,,,
Cảm cúm,đau nhức cơ,ớn lạnh,mệt mỏi,sốt cao,đau họng,,,
Viêm xoang,đau đầu,nghẹt mũi,đau mặt,,,,,
Viêm xoang,đau mặt,giảm khứu giác,đau đầu,sổ mũi,nghẹt mũi,,,
Thủy đậu,phát ban,ngứa,chán ăn,sốt,,,,
Viêm họng,sưng hạch,sốt,đau họng,khó nuốt,,,,
Sốt xuất huyết,phát ban,đau sau hốc mắt,buồn nôn,sốt cao,chảy máu cam,đau đầu,đau khớp,
Dị ứng,chảy nước mắt,hắt hơi,ngứa,nghẹt mũi,,,,
Cảm lạnh,sổ mũi,nghẹt mũi,ho,mệt mỏi,hắt hơi,,,
Đau nửa đầu,buồn nôn,nhạy cảm ánh sáng,đau đầu,phát ban,,,,
Tiêu chảy cấp,tiêu chảy,đau bụng,,,,,,
Viêm xoang,đau mặt,giảm khứu giác,nghẹt mũi,,,,,
Viêm phế quản,ho có đờm,khó thở,sốt nhẹ,,,,,
Viêm xoang,nghẹt mũi,giảm khứu giác,đau đầu,sổ mũi,đau mặt,,,
Viêm phế quản,khó thở,mệt mỏi,đau ngực,sốt nhẹ,,,,
Hen suyễn,thở khò khè,khó thở,,,,,,
Cảm lạnh,ho,sổ mũi,hắt hơi,đau họng,,,,
Viêm phế quản,ho có đờm,khó thở,đau ngực,sốt nhẹ,mệt mỏi,,,
Sốt rét,đổ mồ hôi,sốt cao,ớn lạnh,,,,,
Sốt rét,đau đầu,sốt cao,buồn nôn,ớn lạnh,đổ mồ hôi,,,
Thủy đậu,phát ban,ngứa,chán ăn,,,,,
Cảm cúm,đau họng,mệt mỏi,sốt cao,ho,,,,
Cảm lạnh,hắt hơi,đau họng,mệt mỏi,sổ mũi,nghẹt mũi,,,
Viêm dạ dày,đau bụng,nôn,ợ chua,,,,,
Đau nửa đầu,đau đầu,nhạy cảm ánh sáng,,,,,,
Viêm phổi,ho có đờm,đau ngực,sốt cao,khó thở,,,,
Viêm họng,ho,khó nuốt,đau họng,,,,,
Sốt xuất huyết,đau đầu,đau sau hốc mắt,đau khớp,chảy máu cam,phát ban,,,
Cảm lạnh,hắt hơi,đau họng,nghẹt mũi,sổ mũi,,,,
Dị ứng,chảy nước mắt,hắt hơi,ngứa,phát ban,,,,
Viêm xoang,nghẹt mũi,đau đầu,giảm khứu giác,sổ mũi,đau mặt,,,
Cảm lạnh,nghẹt mũi,mệt mỏi,hắt hơi,sổ mũi,ho,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Hen suyễn,thở khò khè,đau ngực,khó thở,,,,,
Sốt xuất huyết,sốt cao,phát ban,đau khớp,chảy máu cam,đau sau hốc mắt,,,
Đau nửa đầu,đau đầu,chóng mặt,nôn,,,,,
Viêm xoang,nghẹt mũi,đau mặt,sổ mũi,giảm khứu giác,,,,
Đau nửa đầu,nôn,đau đầu,,,,,,
Viêm phổi,ho có đờm,đau ngực,sốt cao,khó thở,,,,
Tiêu chảy cấp,đau bụng,buồn nôn,tiêu chảy,,,,,
Dị ứng,ngứa,chảy nước mắt,,,,,,
Cảm cúm,ớn lạnh,đau nhức cơ,sốt cao,mệt mỏi,,,,
Đau nửa đầu,nôn,nhạy cảm ánh sáng,đau đầu,buồn nôn,,,,
Sốt xuất huyết,chảy máu cam,phát ban,đau khớp,sốt cao,đau sau hốc mắt,,,
Viêm xoang,đau mặt,giảm khứu giác,nghẹt mũi,đau ngực,,,,
Đau nửa đầu,buồn nôn,đau đầu,nhạy cảm ánh sáng,,,,,
Cảm cúm,đau đầu,mệt mỏi,sốt cao,đau họng,đau nhức cơ,,,
Dị ứng,đau ngực,ngứa,,,,,,
Cảm lạnh,hắt hơi,ho,nghẹt mũi,mệt mỏi,sổ mũi,,,
Hen suyễn,thở khò khè,,,,,,,
Viêm dạ dày,chán ăn,đau bụng,ợ chua,nôn,,,,
Thủy đậu,mệt mỏi,sốt,phát ban,ngứa,,,,
Sốt xuất huyết,đau sau hốc mắt,phát ban,sốt cao,buồn nôn,,,,
Tiêu chảy cấp,tiêu chảy,đau bụng,nôn,,,,,
Viêm phổi,sốt cao,khó thở,ớn lạnh,ho có đờm,mệt mỏi,,,
Tiêu chảy cấp,buồn nôn,đau bụng,sốt,tiêu chảy,mất nước,,,
Tiêu chảy cấp,sốt,tiêu chảy,đau bụng,,,,,
Viêm phế quản,khó thở,ho có đờm,,,,,,
Sốt rét,phát ban,mệt mỏi,ớn lạnh,đổ mồ hôi,sốt cao,đau đầu,,
Viêm xoang,nghẹt mũi,đau mặt,,,,,,
Viêm dạ dày,đau bụng,chán ăn,buồn nôn,nôn,ợ chua,,,
Viêm họng,ho,đau họng,khó nuốt,,,,,
Viêm phế quản,ho có đờm,mệt mỏi,khó thở,,,,,
Sốt rét,buồn nôn,ớn lạnh,sốt cao,nghẹt mũi,đổ mồ hôi,,,
Viêm phế quản,ho có đờm,khó thở,,,,,,
Cảm cúm,mệt mỏi,sốt cao,ho,đau nhức cơ,đau họng,,,
Sốt xuất huyết,phát ban,sốt cao,đau đầu,đau khớp,đau sau hốc mắt,,,
Dị ứng,đau họng,chảy nước mắt,phát ban,hắt hơi,,,,
Viêm dạ dày,buồn nôn,chán ăn,đau bụng,nôn,ợ chua,,,
Cảm lạnh,mệt mỏi,đau họng,nghẹt mũi,sổ mũi,hắt hơi,,,
Cảm cúm,đau nhức cơ,ho,ớn lạnh,sốt cao,đau đầu,,,
Viêm dạ dày,đầy hơi,chán ăn,buồn nôn,đau bụng,,,,
Đau nửa đầu,nôn,đau đầu,,,,,,
Viêm xoang,nghẹt mũi,đau mặt,,,,,,
Sốt rét,ớn lạnh,đổ mồ hôi,mệt mỏi,sốt cao,,,,
Viêm dạ dày,ợ chua,chán ăn,đau bụng,nôn,,,,
Tiêu chảy cấp,nôn,tiêu chảy,đau bụng,mất nước,,,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,phát ban,,,,,
Viêm họng,ho,đau họng,khó nuốt,sưng hạch,,,,
Hen suyễn,đau ngực,khó thở,,,,,,
Sốt xuất huyết,chảy máu cam,khó nuốt,đau khớp,phát ban,đau sau hốc mắt,buồn nôn,sốt cao,đau đầu
Sốt xuất huyết,đau sau hốc mắt,phát ban,sốt cao,chảy máu cam,đau khớp,,,
Thủy đậu,sốt,phát ban,ngứa,chán ăn,,,,
Viêm họng,đau họng,khó nuốt,sốt,,,,,
Cảm lạnh,sổ mũi,mệt mỏi,hắt hơi,đau họng,nghẹt mũi,,,
Thủy đậu,ngứa,mệt mỏi,phát ban,,,,,
Viêm xoang,đau mặt,sổ mũi,nghẹt mũi,,,,,
Cảm lạnh,đau họng,nghẹt mũi,hắt hơi,sổ mũi,,,,
Cảm lạnh,hắt hơi,đau họng,nghẹt mũi,ho,sổ mũi,,,
Cảm lạnh,hắt hơi,đau họng,mệt mỏi,sổ mũi,,,,
